task_id,machine_id,operator_id,task_type,weather,operator_skill,machine_age_years,estimated_time_min,actual_time_min,planned_start,actual_start,working_condition
TSK-1001,CAT-797F-101,OP-101,OVERBURDEN_REMOVAL,HIGH_WIND,EXPERT,3.2,57.1,68.3,2026-09-20T06:01:00Z,2026-09-20T06:06:00Z,SEVERE
TSK-1002,CAT-D11-401,OP-105,OVERBURDEN_REMOVAL,FOG,INTERMEDIATE,6.5,42.2,61.3,2026-09-20T06:28:00Z,2026-09-20T06:32:00Z,MUDDY
TSK-1003,CAT-D11-401,OP-105,OVERBURDEN_REMOVAL,FOG,INTERMEDIATE,6.5,90.1,117.1,2026-09-20T06:56:00Z,2026-09-20T06:57:00Z,MODERATE
TSK-1004,CAT-994K-301,OP-104,RAMP_MAINTENANCE,RAIN,NOVICE,4.0,93.1,125.6,2026-09-20T07:21:00Z,2026-09-20T07:23:00Z,NORMAL
TSK-1005,CAT-6060-201,OP-103,ORE_HAULING,DUSTY,EXPERT,2.1,47.2,55.0,2026-09-20T07:45:00Z,2026-09-20T07:51:00Z,SEVERE
TSK-1006,CAT-6060-201,OP-103,RAMP_MAINTENANCE,RAIN,EXPERT,2.1,91.1,101.5,2026-09-20T08:11:00Z,2026-09-20T08:11:00Z,NORMAL
TSK-1007,CAT-D11-401,OP-105,BENCH_CLEANUP,HIGH_WIND,INTERMEDIATE,6.5,102.0,133.5,2026-09-20T08:33:00Z,2026-09-20T08:38:00Z,STEEP_INCLINE
TSK-1008,CAT-797F-101,OP-101,OVERBURDEN_REMOVAL,HIGH_WIND,EXPERT,3.2,94.1,105.1,2026-09-20T08:58:00Z,2026-09-20T09:04:00Z,MODERATE
TSK-1009,CAT-797F-101,OP-101,STOCKPILE_FEEDING,RAIN,EXPERT,3.2,84.5,114.9,2026-09-20T09:25:00Z,2026-09-20T09:27:00Z,MUDDY
TSK-1010,CAT-797F-102,OP-102,BENCH_CLEANUP,HIGH_WIND,INTERMEDIATE,5.8,82.6,94.8,2026-09-20T09:48:00Z,2026-09-20T09:49:00Z,NORMAL
TSK-1011,CAT-994K-301,OP-104,STOCKPILE_FEEDING,RAIN,NOVICE,4.0,55.4,83.1,2026-09-20T10:10:00Z,2026-09-20T10:11:00Z,STEEP_INCLINE
TSK-1012,CAT-797F-101,OP-101,BENCH_CLEANUP,MUDDY_GROUND,EXPERT,3.2,44.6,62.6,2026-09-20T10:44:00Z,2026-09-20T10:49:00Z,SEVERE
TSK-1013,CAT-6060-201,OP-103,ORE_HAULING,HIGH_WIND,EXPERT,2.1,67.7,87.1,2026-09-20T11:07:00Z,2026-09-20T11:08:00Z,MUDDY
TSK-1014,CAT-6060-201,OP-103,ORE_HAULING,DUSTY,EXPERT,2.1,77.7,89.1,2026-09-20T11:31:00Z,2026-09-20T11:35:00Z,STEEP_INCLINE
TSK-1015,CAT-994K-301,OP-104,BENCH_CLEANUP,DUSTY,NOVICE,4.0,75.7,96.6,2026-09-20T11:50:00Z,2026-09-20T11:56:00Z,MODERATE
TSK-1016,CAT-797F-101,OP-101,ORE_HAULING,HIGH_WIND,EXPERT,3.2,95.4,103.3,2026-09-20T12:16:00Z,2026-09-20T12:19:00Z,MODERATE
TSK-1017,CAT-994K-301,OP-104,RAMP_MAINTENANCE,MUDDY_GROUND,NOVICE,4.0,57.6,91.2,2026-09-20T12:40:00Z,2026-09-20T12:45:00Z,STEEP_INCLINE
TSK-1018,CAT-797F-101,OP-101,RAMP_MAINTENANCE,RAIN,EXPERT,3.2,47.8,62.3,2026-09-20T13:12:00Z,2026-09-20T13:12:00Z,SEVERE
TSK-1019,CAT-6060-201,OP-103,RAMP_MAINTENANCE,DUSTY,EXPERT,2.1,103.9,119.9,2026-09-20T13:34:00Z,2026-09-20T13:40:00Z,STEEP_INCLINE
TSK-1020,CAT-D11-401,OP-105,RAMP_MAINTENANCE,DUSTY,INTERMEDIATE,6.5,66.2,77.9,2026-09-20T14:03:00Z,2026-09-20T14:03:00Z,MODERATE
TSK-1021,CAT-D11-401,OP-105,BENCH_CLEANUP,MUDDY_GROUND,INTERMEDIATE,6.5,47.8,63.5,2026-09-20T14:24:00Z,2026-09-20T14:25:00Z,NORMAL
TSK-1022,CAT-797F-101,OP-101,ORE_HAULING,FOG,EXPERT,3.2,46.0,50.5,2026-09-20T14:46:00Z,2026-09-20T14:52:00Z,NORMAL
TSK-1023,CAT-D11-401,OP-105,ORE_HAULING,DUSTY,INTERMEDIATE,6.5,106.3,145.4,2026-09-20T15:18:00Z,2026-09-20T15:24:00Z,MUDDY
TSK-1024,CAT-D11-401,OP-105,STOCKPILE_FEEDING,DUSTY,INTERMEDIATE,6.5,92.9,120.7,2026-09-20T15:39:00Z,2026-09-20T15:42:00Z,STEEP_INCLINE
TSK-1025,CAT-6060-201,OP-103,STOCKPILE_FEEDING,FOG,EXPERT,2.1,48.5,63.3,2026-09-20T16:05:00Z,2026-09-20T16:05:00Z,MUDDY
TSK-1026,CAT-D11-401,OP-105,RAMP_MAINTENANCE,DUSTY,INTERMEDIATE,6.5,55.4,69.9,2026-09-20T16:35:00Z,2026-09-20T16:35:00Z,STEEP_INCLINE
TSK-1027,CAT-797F-102,OP-102,OVERBURDEN_REMOVAL,CLEAR,INTERMEDIATE,5.8,45.0,57.2,2026-09-20T17:00:00Z,2026-09-20T17:03:00Z,SEVERE
TSK-1028,CAT-797F-102,OP-102,RAMP_MAINTENANCE,DUSTY,INTERMEDIATE,5.8,80.3,101.3,2026-09-20T17:22:00Z,2026-09-20T17:28:00Z,STEEP_INCLINE
TSK-1029,CAT-994K-301,OP-104,ORE_HAULING,CLEAR,NOVICE,4.0,86.1,104.3,2026-09-20T17:46:00Z,2026-09-20T17:49:00Z,NORMAL
TSK-1030,CAT-797F-101,OP-101,OVERBURDEN_REMOVAL,CLEAR,EXPERT,3.2,91.0,112.5,2026-09-20T18:06:00Z,2026-09-20T18:07:00Z,MUDDY
TSK-1031,CAT-797F-102,OP-102,ORE_HAULING,FOG,INTERMEDIATE,5.8,49.8,72.1,2026-09-20T18:37:00Z,2026-09-20T18:38:00Z,MUDDY
TSK-1032,CAT-797F-101,OP-101,STOCKPILE_FEEDING,FOG,EXPERT,3.2,43.5,49.1,2026-09-20T18:55:00Z,2026-09-20T18:55:00Z,NORMAL
TSK-1033,CAT-797F-102,OP-102,ORE_HAULING,MUDDY_GROUND,INTERMEDIATE,5.8,73.7,117.1,2026-09-20T19:20:00Z,2026-09-20T19:21:00Z,MUDDY
TSK-1034,CAT-994K-301,OP-104,OVERBURDEN_REMOVAL,MUDDY_GROUND,NOVICE,4.0,104.9,171.7,2026-09-20T19:49:00Z,2026-09-20T19:52:00Z,SEVERE
TSK-1035,CAT-D11-401,OP-105,STOCKPILE_FEEDING,DUSTY,INTERMEDIATE,6.5,60.8,74.5,2026-09-20T20:19:00Z,2026-09-20T20:24:00Z,MODERATE
TSK-1036,CAT-D11-401,OP-105,OVERBURDEN_REMOVAL,HIGH_WIND,INTERMEDIATE,6.5,44.0,60.0,2026-09-20T20:43:00Z,2026-09-20T20:49:00Z,SEVERE
TSK-1037,CAT-D11-401,OP-105,ORE_HAULING,CLEAR,INTERMEDIATE,6.5,45.6,56.5,2026-09-20T21:09:00Z,2026-09-20T21:09:00Z,STEEP_INCLINE
TSK-1038,CAT-797F-102,OP-102,STOCKPILE_FEEDING,CLEAR,INTERMEDIATE,5.8,57.2,71.7,2026-09-20T21:34:00Z,2026-09-20T21:34:00Z,STEEP_INCLINE
TSK-1039,CAT-994K-301,OP-104,RAMP_MAINTENANCE,FOG,NOVICE,4.0,62.1,91.0,2026-09-20T22:00:00Z,2026-09-20T22:05:00Z,STEEP_INCLINE
TSK-1040,CAT-6060-201,OP-103,ORE_HAULING,RAIN,EXPERT,2.1,49.2,66.9,2026-09-20T22:22:00Z,2026-09-20T22:24:00Z,MUDDY
TSK-1041,CAT-797F-101,OP-101,OVERBURDEN_REMOVAL,MUDDY_GROUND,EXPERT,3.2,109.9,150.3,2026-09-20T22:41:00Z,2026-09-20T22:45:00Z,STEEP_INCLINE
TSK-1042,CAT-797F-102,OP-102,RAMP_MAINTENANCE,RAIN,INTERMEDIATE,5.8,105.3,140.0,2026-09-20T23:08:00Z,2026-09-20T23:10:00Z,MODERATE
TSK-1043,CAT-6060-201,OP-103,ORE_HAULING,MUDDY_GROUND,EXPERT,2.1,89.2,118.5,2026-09-20T23:40:00Z,2026-09-20T23:44:00Z,STEEP_INCLINE
TSK-1044,CAT-797F-101,OP-101,RAMP_MAINTENANCE,RAIN,EXPERT,3.2,105.7,116.9,2026-09-20T23:56:00Z,2026-09-20T23:56:00Z,NORMAL
TSK-1045,CAT-D11-401,OP-105,ORE_HAULING,RAIN,INTERMEDIATE,6.5,82.3,120.2,2026-09-21T00:23:00Z,2026-09-21T00:28:00Z,SEVERE
TSK-1046,CAT-6060-201,OP-103,RAMP_MAINTENANCE,MUDDY_GROUND,EXPERT,2.1,103.4,142.9,2026-09-21T00:46:00Z,2026-09-21T00:51:00Z,SEVERE
TSK-1047,CAT-994K-301,OP-104,BENCH_CLEANUP,CLEAR,NOVICE,4.0,63.3,75.8,2026-09-21T01:14:00Z,2026-09-21T01:15:00Z,NORMAL
TSK-1048,CAT-994K-301,OP-104,RAMP_MAINTENANCE,HIGH_WIND,NOVICE,4.0,79.3,118.7,2026-09-21T01:37:00Z,2026-09-21T01:41:00Z,MUDDY
TSK-1049,CAT-797F-101,OP-101,BENCH_CLEANUP,FOG,EXPERT,3.2,50.4,61.3,2026-09-21T02:04:00Z,2026-09-21T02:06:00Z,STEEP_INCLINE
TSK-1050,CAT-797F-101,OP-101,BENCH_CLEANUP,DUSTY,EXPERT,3.2,86.7,91.0,2026-09-21T02:33:00Z,2026-09-21T02:39:00Z,MODERATE
TSK-1051,CAT-994K-301,OP-104,RAMP_MAINTENANCE,HIGH_WIND,NOVICE,4.0,104.8,137.7,2026-09-21T02:52:00Z,2026-09-21T02:58:00Z,MODERATE
TSK-1052,CAT-797F-102,OP-102,STOCKPILE_FEEDING,CLEAR,INTERMEDIATE,5.8,91.6,105.1,2026-09-21T03:21:00Z,2026-09-21T03:27:00Z,MODERATE
TSK-1053,CAT-797F-102,OP-102,BENCH_CLEANUP,DUSTY,INTERMEDIATE,5.8,66.8,74.1,2026-09-21T03:47:00Z,2026-09-21T03:48:00Z,NORMAL
TSK-1054,CAT-797F-102,OP-102,STOCKPILE_FEEDING,RAIN,INTERMEDIATE,5.8,97.4,142.1,2026-09-21T04:08:00Z,2026-09-21T04:08:00Z,SEVERE
TSK-1055,CAT-797F-102,OP-102,STOCKPILE_FEEDING,RAIN,INTERMEDIATE,5.8,100.5,147.2,2026-09-21T04:34:00Z,2026-09-21T04:36:00Z,SEVERE
TSK-1056,CAT-D11-401,OP-105,STOCKPILE_FEEDING,HIGH_WIND,INTERMEDIATE,6.5,63.2,81.5,2026-09-21T04:59:00Z,2026-09-21T05:00:00Z,STEEP_INCLINE
TSK-1057,CAT-D11-401,OP-105,BENCH_CLEANUP,CLEAR,INTERMEDIATE,6.5,81.8,90.7,2026-09-21T05:25:00Z,2026-09-21T05:28:00Z,NORMAL
TSK-1058,CAT-D11-401,OP-105,RAMP_MAINTENANCE,CLEAR,INTERMEDIATE,6.5,103.0,137.9,2026-09-21T05:45:00Z,2026-09-21T05:50:00Z,MUDDY
